date,lat,lon,region,sea_temperature,salinity,fish_stock_index,biodiversity_index,eDNA_detected_species,invasive_species_flag
2024-10-26,41.88,-127.7486,Pacific Northwest,25.64,31.07,41.69,51.9,"Salmon,Cod,Sardine",no
2025-03-30,-17.5591,82.6382,Indian Ocean,24.67,34.1,67.94,70.11,"Grouper,Tuna",no
2024-10-27,15.1234,66.6354,Arabian Sea,19.7,33.72,59.79,78.28,"Mackerel,Tuna,Grouper",no
2025-05-29,38.9436,-28.4031,North Atlantic,22.19,34.62,65.92,87.6,"Sardine,Salmon,Anchovy",no
2025-02-20,-17.4413,81.8479,Indian Ocean,26.77,33.83,44.05,54.25,"Sardine,Mackerel",no
2025-09-02,-28.3705,-11.9965,South Atlantic,21.39,34.18,65.4,74.58,"Mackerel,Salmon",no
2025-07-24,-14.7973,80.8674,Indian Ocean,23.79,31.81,55.23,48.43,"Snapper,Salmon",no
2024-10-07,19.4848,84.4025,Bay of Bengal,25.81,31.48,51.03,54.33,"Tuna,Salmon",no
2024-10-27,14.38,110.9538,South China Sea,17.23,35.29,66.54,43.26,"Salmon,Mackerel,Anchovy",no
2025-07-20,46.4915,-129.5727,Pacific Northwest,24.14,33.36,59.3,69.3,"Mackerel,Sardine",no
2025-02-23,43.0142,-131.0892,Pacific Northwest,17.71,32.21,74.29,50.4,"Mackerel,Tuna,Snapper",no
2025-09-01,-13.6604,81.9962,Indian Ocean,19.41,33.37,66.38,41.58,"Cod,Grouper",no
2025-01-27,-32.9917,-8.8007,South Atlantic,14.57,33.43,76.13,57.89,"Anchovy,Snapper",no
2025-07-08,-30.6163,-12.8501,South Atlantic,17.97,35.26,52.66,63.91,"Mackerel,Tuna",no
2025-04-11,-34.3382,-9.7836,South Atlantic,16.82,34.35,67.86,82.48,"Cod,Anchovy",no
2025-05-11,18.5378,64.66,Arabian Sea,28.16,35.25,53.26,76.3,"Cod,Sardine",no
2025-07-10,9.2203,110.8306,South China Sea,11.74,34.95,55.26,42.59,"Anchovy,Tuna",no
2025-03-13,-27.4856,-4.0098,South Atlantic,35.0,34.62,26.1,36.31,"Sardine,Tuna,Anchovy",no
2025-09-07,-31.2461,-11.8363,South Atlantic,19.16,35.6,69.26,55.1,"Tuna,Mackerel",no
2025-01-17,10.5411,111.8387,South China Sea,30.61,34.2,54.61,58.03,"Sardine,Salmon",no
2024-12-19,12.8243,93.3854,Bay of Bengal,15.07,35.26,55.11,69.89,"Snapper,Anchovy",no
2025-05-08,11.8777,110.0356,South China Sea,22.68,33.32,48.39,46.25,"Anchovy,Grouper,Mackerel",no
2024-10-27,45.48,-130.3559,Pacific Northwest,21.71,35.96,64.76,50.27,"Tuna,Salmon,Anchovy",no
2025-08-13,49.6073,-129.4503,Pacific Northwest,12.65,31.95,75.82,75.42,"Anchovy,Mackerel",no
2025-06-23,44.3843,-33.3211,North Atlantic,14.63,34.96,59.32,60.11,"Snapper,Mackerel",no
2025-08-31,59.2224,-147.7282,Gulf of Alaska,23.86,30.92,57.79,39.5,"Cod,Sardine",no
2025-02-23,53.9976,-145.2523,Gulf of Alaska,12.04,34.05,53.24,60.84,"Salmon,Cod",no
2025-03-28,22.0122,63.5365,Arabian Sea,15.82,33.66,68.07,65.44,"Anchovy,Cod,Snapper",no
2025-06-15,15.6847,94.5524,Bay of Bengal,31.26,32.72,40.6,41.04,"Cod,Tuna",no
2025-07-30,-26.3824,-12.1873,South Atlantic,16.08,30.78,64.52,36.15,"Sardine,Salmon",no
2025-06-25,43.4117,-132.6306,Pacific Northwest,19.43,31.36,52.46,77.37,"Snapper,Grouper,Anchovy",no
2025-09-22,45.5107,-21.2848,North Atlantic,12.97,33.45,63.36,82.98,"Salmon,Tuna,Grouper",no
2025-08-27,17.332,88.3043,Bay of Bengal,17.74,33.8,55.74,61.14,"Snapper,Grouper",no
2024-12-04,10.334,113.4146,South China Sea,26.08,34.23,57.36,64.47,"Grouper,Snapper",no
2025-07-10,12.9495,111.7081,South China Sea,32.56,36.36,44.74,44.04,"Sardine,Mackerel,Tuna",no
2025-08-27,11.6628,90.5734,Bay of Bengal,21.58,34.72,45.4,72.53,"Snapper,Tuna,Salmon",no
2024-12-20,-16.4146,80.7912,Indian Ocean,20.31,33.56,64.34,59.78,"Tuna,Grouper,Sardine",no
2025-09-11,10.3,63.2894,Arabian Sea,21.06,34.44,60.16,41.7,"Anchovy,Cod,Tuna",no
2025-05-02,50.3984,-145.4085,Gulf of Alaska,18.03,33.91,59.41,60.53,"Salmon,Cod",no
2025-05-26,17.1969,115.5322,South China Sea,22.63,36.62,65.12,61.86,"Tuna,Grouper,Mackerel",no
2025-06-30,9.9077,114.9688,South China Sea,12.93,35.17,57.95,73.19,"Grouper,Cod,Anchovy",no
2025-05-08,20.1923,59.2839,Arabian Sea,19.6,32.24,61.62,74.34,"Grouper,Snapper,Sardine",no
2025-09-22,11.9588,87.0983,Bay of Bengal,12.7,32.99,62.52,73.83,"Mackerel,Snapper,Anchovy",no
2025-03-16,-14.0869,80.2161,Indian Ocean,22.48,36.42,40.4,45.79,"Snapper,Salmon",no
2025-07-07,59.4278,-146.8949,Gulf of Alaska,25.08,33.14,63.98,73.54,"Salmon,Tuna",no
2025-07-19,40.811,-32.59,North Atlantic,19.11,33.77,71.6,75.85,"Grouper,Salmon,Cod",no
2025-06-20,49.4444,-132.2308,Pacific Northwest,15.07,34.3,72.58,63.62,"Cod,Snapper",no
2024-09-25,47.5255,-128.3377,Pacific Northwest,33.97,33.69,18.03,82.71,"Mackerel,Salmon,Tuna",no
2025-04-10,-26.0713,-14.8068,South Atlantic,12.49,31.6,51.04,58.27,"Cod,Sardine",no
2025-06-20,40.7617,-136.9303,Pacific Northwest,20.33,33.29,69.94,69.89,"Cod,Snapper,Grouper",no
2024-10-02,45.4147,-127.7196,Pacific Northwest,21.38,34.8,56.2,58.87,"Cod,Salmon,Mackerel",no
2025-07-16,53.8188,-146.4365,Gulf of Alaska,18.4,33.82,77.49,40.2,"Sardine,Anchovy",no
2025-09-10,37.9992,-132.0348,Pacific Northwest,24.5,33.57,58.98,75.93,"Anchovy,Grouper",no
2025-03-05,12.6916,91.0608,Bay of Bengal,20.55,32.74,58.95,40.95,"Snapper,Grouper",no
2024-09-29,47.4108,-124.8377,Pacific Northwest,11.71,34.59,47.01,67.75,"Sardine,Anchovy",no
2025-03-10,14.7849,110.185,South China Sea,16.8,32.4,61.05,62.11,"Anchovy,Salmon,Snapper",no
2025-08-08,46.0858,-126.038,Pacific Northwest,17.94,31.78,80.56,49.95,"Grouper,Mackerel,Anchovy",no
2024-11-20,54.6066,-146.9537,Gulf of Alaska,31.71,37.12,43.28,51.34,"Snapper,Salmon",no
2025-05-06,12.9992,111.9224,South China Sea,21.88,32.75,46.34,33.87,"Tuna,Salmon",no
2025-08-25,54.1204,-142.1883,Gulf of Alaska,26.64,32.56,56.21,52.9,"Cod,Salmon",no
2025-04-26,19.8575,62.9822,Arabian Sea,26.38,32.29,53.3,87.61,"Grouper,Salmon,Snapper",no
2025-07-16,45.2746,-128.2577,Pacific Northwest,19.66,33.74,58.89,68.89,"Grouper,Cod,Salmon",no
2025-02-11,41.8375,-28.0032,North Atlantic,26.51,34.55,50.11,67.7,"Mackerel,Cod",no
2025-06-17,12.5058,62.9932,Arabian Sea,8.06,31.76,63.75,64.53,"Tuna,Sardine",no
2025-05-25,9.1064,62.3695,Arabian Sea,34.52,34.65,31.36,67.32,"Cod,Mackerel",no
2025-06-25,40.2984,-30.2583,North Atlantic,24.74,34.52,63.19,54.15,"Grouper,Snapper",no
2025-08-25,15.0896,61.3369,Arabian Sea,28.01,33.71,64.01,58.25,"Grouper,Cod,Anchovy",no
2025-07-25,-14.2253,84.6942,Indian Ocean,17.83,32.59,65.17,63.37,"Anchovy,Sardine,Salmon",no
2024-12-03,-31.6163,-6.5566,South Atlantic,5.63,32.82,28.4,49.19,"Snapper,Cod",no
2025-04-15,11.2399,111.5224,South China Sea,21.22,32.49,70.63,65.39,"Sardine,Salmon,Snapper",no
2025-01-22,40.8893,-23.8948,North Atlantic,19.48,33.54,59.51,50.31,"Grouper,Mackerel",no
2025-04-24,10.4587,109.3336,South China Sea,19.58,34.5,67.36,53.31,"Mackerel,Grouper",no
2025-01-17,39.5211,-31.9587,North Atlantic,23.29,34.28,44.94,62.77,"Mackerel,Sardine",no
2024-11-25,15.5695,82.6355,Bay of Bengal,28.02,35.87,47.44,60.0,"Grouper,Cod,Mackerel",no
2025-01-05,39.1187,-33.2164,North Atlantic,24.29,37.0,45.66,39.97,"Grouper,Anchovy,Snapper",no
2025-02-23,41.3329,-129.2529,Pacific Northwest,30.93,31.52,31.33,47.53,"Cod,Salmon,Anchovy",no
2025-08-09,-29.275,-15.3249,South Atlantic,23.09,33.13,72.56,53.14,"Tuna,Cod,Grouper",no
2024-12-30,20.2888,65.3443,Arabian Sea,9.89,34.81,43.43,63.79,"Cod,Sardine,Tuna",no
2025-05-21,9.5802,108.1521,South China Sea,24.28,34.36,51.29,80.6,"Mackerel,Anchovy,Snapper",no
2025-03-04,-29.1933,-11.859,South Atlantic,22.83,33.2,56.23,77.35,"Snapper,Tuna",no
2025-02-22,-25.1672,-2.352,South Atlantic,17.57,31.09,66.03,47.04,"Anchovy,Mackerel,Cod",no
2025-08-06,-13.2613,81.5735,Indian Ocean,11.03,35.05,76.59,61.82,"Cod,Mackerel",no
2025-04-06,-13.1542,74.808,Indian Ocean,20.99,33.41,82.51,59.98,"Mackerel,Anchovy",no
2024-10-24,19.7618,64.9582,Arabian Sea,14.79,34.27,75.7,59.78,"Anchovy,Tuna",no
2025-09-10,37.2927,-31.027,North Atlantic,19.51,31.44,50.82,57.99,"Snapper,Tuna,Cod",no
2025-09-18,-27.6455,-9.1829,South Atlantic,15.72,32.02,73.79,59.32,"Mackerel,Salmon,Anchovy",no
2024-09-24,56.2606,-146.8369,Gulf of Alaska,19.0,35.23,74.25,73.89,"Anchovy,Sardine",no
2024-12-26,10.4975,110.6938,South China Sea,17.13,35.19,83.23,53.56,"Tuna,Salmon,Grouper",no
2025-07-05,44.2627,-127.1438,Pacific Northwest,6.49,32.76,39.15,30.96,"Snapper,Mackerel,Tuna",yes
2025-09-18,44.3967,-126.6611,Pacific Northwest,18.53,32.45,68.37,69.86,"Sardine,Cod",no
2025-03-06,-28.3244,-10.6646,South Atlantic,23.88,33.98,65.25,52.48,"Salmon,Snapper",yes
2024-11-03,51.3523,-152.6904,Gulf of Alaska,24.11,33.47,47.55,61.21,"Salmon,Tuna,Mackerel",no
2025-04-30,13.5101,61.2313,Arabian Sea,28.77,34.42,56.14,49.2,"Sardine,Grouper",no
2025-08-05,40.1748,-28.3538,North Atlantic,18.87,34.42,69.83,72.25,"Anchovy,Tuna,Sardine",yes
2024-11-19,-36.7418,-6.9948,South Atlantic,27.13,32.47,33.15,58.53,"Snapper,Tuna",no
2025-04-06,46.5489,-131.1152,Pacific Northwest,14.64,34.02,60.29,52.73,"Anchovy,Tuna,Salmon",no
2025-08-21,43.4081,-32.7626,North Atlantic,25.13,34.96,60.17,75.2,"Salmon,Grouper,Snapper",no
2025-05-14,41.9107,-28.9776,North Atlantic,9.3,34.13,47.03,49.01,"Grouper,Tuna",no
2025-01-12,-10.9223,80.7656,Indian Ocean,28.1,34.02,51.82,51.79,"Grouper,Anchovy,Mackerel",no
2025-07-10,51.092,-148.1536,Gulf of Alaska,19.52,36.7,75.9,51.66,"Sardine,Anchovy,Cod",no
2024-10-27,-30.6087,-13.2473,South Atlantic,19.09,32.88,55.31,65.54,"Grouper,Sardine,Anchovy",no
2025-09-15,44.6319,-127.0129,Pacific Northwest,26.36,35.54,53.68,47.17,"Cod,Snapper,Sardine",no
2025-04-03,16.1378,90.862,Bay of Bengal,26.6,33.8,40.36,60.18,"Grouper,Anchovy",no
2025-09-03,-31.7337,-9.2413,South Atlantic,16.98,33.06,71.07,55.47,"Anchovy,Mackerel",no
2025-03-14,-18.4183,78.5563,Indian Ocean,28.63,32.26,27.58,33.94,"Anchovy,Snapper",no
2025-05-17,17.6472,67.6426,Arabian Sea,3.96,34.59,57.54,48.5,"Anchovy,Snapper",no
2025-06-06,-32.683,-10.9788,South Atlantic,28.56,36.76,45.51,74.08,"Mackerel,Snapper,Salmon",no
2025-07-14,-30.2799,-9.6068,South Atlantic,22.19,38.0,70.13,36.51,"Sardine,Cod,Grouper",no
2025-04-22,53.5307,-145.2742,Gulf of Alaska,20.19,34.42,65.77,66.95,"Mackerel,Cod,Salmon",no
2024-10-11,13.9997,109.0539,South China Sea,11.35,33.91,57.53,56.24,"Cod,Anchovy",no
2025-09-15,38.7792,-31.7546,North Atlantic,19.72,34.42,56.48,71.6,"Snapper,Tuna",no
2025-05-27,9.1242,86.963,Bay of Bengal,18.67,33.84,68.37,66.93,"Anchovy,Salmon",no
2025-05-06,51.4841,-151.28,Gulf of Alaska,21.73,35.87,58.22,25.64,"Cod,Mackerel,Tuna",no
2025-06-22,16.3268,62.7748,Arabian Sea,20.23,33.53,76.03,54.55,"Cod,Tuna,Grouper",no
2025-06-21,7.3931,113.1691,South China Sea,20.62,33.78,80.65,56.43,"Sardine,Salmon",no
2024-12-18,36.169,-29.7902,North Atlantic,13.54,32.87,65.06,66.03,"Grouper,Snapper,Cod",no
2025-08-10,21.4725,68.3089,Arabian Sea,23.18,36.05,40.84,50.96,"Tuna,Grouper,Cod",no
2024-10-21,10.2857,111.5015,South China Sea,31.29,33.75,47.55,60.94,"Tuna,Sardine,Snapper",no
2025-02-02,19.345,67.4959,Arabian Sea,29.88,34.46,52.13,48.87,"Grouper,Sardine",no
2025-08-09,14.5979,112.6348,South China Sea,25.32,34.74,67.37,64.79,"Cod,Mackerel",no
2025-05-23,3.2082,113.1487,South China Sea,-1.89,31.41,34.74,57.8,"Cod,Grouper",no
2025-04-16,49.1116,-131.4521,Pacific Northwest,33.46,34.0,43.17,84.39,"Salmon,Grouper",no
2025-04-05,14.6708,86.8932,Bay of Bengal,11.81,33.62,50.2,74.17,"Sardine,Salmon",no
2025-03-01,17.6815,64.6694,Arabian Sea,23.7,32.5,48.18,70.76,"Cod,Sardine",no
2025-05-22,-28.6686,-8.6099,South Atlantic,10.82,34.34,62.99,67.77,"Mackerel,Tuna,Salmon",yes
